"Test","Group","Participant","word","nTrials","nCorrect","Accuracy"
"pre","LV","VID_Listener2","hid",7,6,0.857142857142857
"pre","LV","VID_Listener2","hide",7,6,0.857142857142857
"pre","LV","VID_Listener2","hoard",7,0,0
"pre","LV","VID_Listener2","hod",7,2,0.285714285714286
"pre","LV","VID_Listener2","hoed",7,0,0
"pre","LV","VID_Listener2","hood",7,3,0.428571428571429
"pre","LV","VID_Listener2","howd",7,5,0.714285714285714
"pre","LV","VID_Listener2","hoyd",7,3,0.428571428571429
"pre","LV","VID_Listener2","hud",6,2,0.333333333333333
"pre","LV","VID_Listener2","whod",7,0,0
"pre","LV","VID_Listener3","C011-hoyd",1,0,0
"pre","LV","VID_Listener3","had",8,5,0.625
"pre","LV","VID_Listener3","haired",8,1,0.125
"pre","LV","VID_Listener3","hard",8,2,0.25
"pre","LV","VID_Listener3","hayed",8,2,0.25
"pre","LV","VID_Listener3","head",7,4,0.571428571428571
"pre","LV","VID_Listener3","hear",7,6,0.857142857142857
"pre","LV","VID_Listener3","heard",6,2,0.333333333333333
"pre","LV","VID_Listener3","heed",7,0,0
"pre","LV","VID_Listener3","hid",7,2,0.285714285714286
"pre","LV","VID_Listener3","hide",7,5,0.714285714285714
"pre","LV","VID_Listener3","hoard",6,0,0
"pre","LV","VID_Listener3","hod",6,2,0.333333333333333
"pre","LV","VID_Listener3","hoed",6,0,0
"pre","LV","VID_Listener3","hood",7,3,0.428571428571429
"pre","LV","VID_Listener3","howd",7,1,0.142857142857143
"pre","LV","VID_Listener3","hoyd",7,2,0.285714285714286
"pre","LV","VID_Listener3","hud",6,0,0
"pre","LV","VID_Listener3","whod",7,2,0.285714285714286
"pre","LV","VID_Listener4","had",7,0,0
"pre","LV","VID_Listener4","haired",7,0,0
"pre","LV","VID_Listener4","hard",7,1,0.142857142857143
"pre","LV","VID_Listener4","hayed",7,2,0.285714285714286
"pre","LV","VID_Listener4","head",6,1,0.166666666666667
"pre","LV","VID_Listener4","hear",6,2,0.333333333333333
"pre","LV","VID_Listener4","heard",6,0,0
"pre","LV","VID_Listener4","heed",6,0,0
"pre","LV","VID_Listener4","hid",6,1,0.166666666666667
"pre","LV","VID_Listener4","hide",6,4,0.666666666666667
"pre","LV","VID_Listener4","hoard",7,0,0
"pre","LV","VID_Listener4","hod",7,0,0
"pre","LV","VID_Listener4","hoed",7,0,0
"pre","LV","VID_Listener4","hood",6,0,0
"pre","LV","VID_Listener4","howd",6,0,0
"pre","LV","VID_Listener4","hoyd",7,1,0.142857142857143
"pre","LV","VID_Listener4","hud",5,1,0.2
"pre","LV","VID_Listener4","whod",8,1,0.125
"pre","LV","VID_Listener5","had",7,2,0.285714285714286
